iter	Passed	Remaining
471	694	777
472	695	775
473	697	773
474	698	771
475	699	769
476	700	767
477	701	765
478	702	763
479	703	761
480	704	759
481	705	757
482	705	755
483	706	753
484	708	751
485	708	749
486	709	747
487	710	745
488	711	743
489	712	741
490	713	739
491	714	737
492	715	735
493	716	734
494	717	732
495	718	730
496	719	728
497	720	726
498	721	724
499	722	722
500	723	720
501	724	718
502	725	716
503	726	715
504	727	713
505	728	711
506	729	709
507	730	707
508	731	705
509	732	703
510	733	702
511	734	700
512	735	698
513	736	696
514	737	694
515	738	692
516	739	690
517	739	688
518	740	686
519	741	684
520	742	682
521	744	681
522	745	679
523	746	678
524	747	676
525	748	674
526	749	672
527	750	670
528	751	669
529	752	667
530	753	665
531	754	663
532	755	661
533	755	659
534	757	658
535	758	656
536	759	654
537	759	652
538	760	650
539	761	648
540	762	646
541	763	645
542	764	643
543	765	641
544	766	639
545	766	637
546	767	635
547	769	634
548	769	632
549	771	630
550	772	629
551	773	627
552	774	625
553	775	623
554	776	622
555	777	620
556	778	618
557	779	617
558	780	615
559	781	613
560	782	612
561	783	610
562	783	608
563	784	606
564	785	605
565	786	603
566	787	601
567	788	599
568	789	598
569	790	596
570	791	594
571	792	592
572	793	591
573	794	589
574	795	587
575	796	586
576	797	584
577	798	582
578	799	581
579	800	579
580	801	577
581	802	576
582	803	574
583	804	573
584	805	571
585	806	569
586	807	568
587	808	566
588	809	564
589	810	562
590	811	561
591	812	559
592	813	558
593	814	556
594	814	554
595	815	553
596	816	551
597	817	549
598	818	548
599	819	546
600	820	544
601	821	543
602	822	541
603	823	539
604	823	537
605	825	536
606	826	534
607	826	533
608	827	531
609	828	529
610	829	528
611	830	526
612	831	525
613	832	523
614	833	521
615	834	520
616	835	518
617	836	516
618	837	515
619	837	513
620	838	511
621	839	510
622	840	508
623	841	507
624	842	505
625	843	504
626	844	502
627	845	500
628	846	499
629	847	497
630	848	496
631	849	494
632	850	493
633	851	491
634	852	489
635	853	488
636	854	486
637	855	485
638	856	483
639	857	482
640	857	480
641	858	478
642	859	477
643	860	475
644	861	474
645	862	472
646	863	471
647	864	469
648	865	467
649	866	466
650	866	464
651	868	463
652	869	462
653	870	460
654	871	459
655	872	457
656	873	456
657	874	454
658	875	453
659	876	451
660	877	450
661	878	448
662	879	446
663	880	445
664	881	444
665	882	442
666	883	441
667	884	439
668	885	438
669	886	436
670	887	435
671	888	433
672	889	432
673	890	430
674	891	429
675	892	427
676	893	426
677	894	424
678	895	423
679	896	421
680	897	420
681	898	418
682	899	417
683	900	416
684	901	414
685	902	413
686	903	411
687	904	410
688	905	408
689	906	407
690	907	405
691	907	404
692	908	402
693	909	400
694	910	399
695	919	401
696	920	400
697	921	398
698	922	397
699	923	395
700	924	394
701	925	392
702	926	391
703	927	389
704	927	388
705	928	386
706	929	385
707	930	383
708	931	382
709	931	380
710	932	379
711	933	377
712	934	376
713	935	374
714	936	373
715	937	372
716	939	370
717	939	369
718	941	367
719	942	366
720	943	365
721	944	363
722	946	362
723	947	361
724	948	359
725	949	358
726	950	357
727	951	355
728	952	354
729	954	353
730	956	352
731	957	350
732	958	349
733	959	347
734	960	346
735	961	344
736	962	343
737	963	342
738	964	340
739	965	339
740	966	337
741	967	336
742	968	335
743	969	333
744	970	332
745	972	330
746	973	329
747	974	328
748	975	326
749	976	325
750	977	324
751	978	322
752	979	321
753	981	320
754	982	318
755	983	317
756	984	316
757	985	314
758	986	313
759	987	311
760	988	310
761	989	309
762	990	307
763	992	306
764	993	305
765	994	303
766	995	302
767	996	301
768	997	299
769	998	298
770	999	296
771	1000	295
772	1001	294
773	1002	292
774	1003	291
775	1004	290
776	1005	288
777	1006	287
778	1007	285
779	1008	284
780	1010	283
781	1011	281
782	1012	280
783	1013	279
784	1013	277
785	1014	276
786	1016	275
787	1017	273
788	1018	272
789	1019	270
790	1020	269
791	1021	268
792	1023	267
793	1024	265
794	1025	264
795	1026	262
796	1027	261
797	1028	260
798	1029	258
799	1030	257
800	1031	256
801	1032	254
802	1033	253
803	1034	252
804	1035	250
805	1036	249
806	1037	248
807	1038	246
808	1040	245
809	1041	244
810	1042	242
811	1043	241
812	1045	240
813	1046	239
814	1048	238
815	1049	236
816	1051	235
817	1052	234
818	1053	232
819	1055	231
820	1056	230
821	1057	228
822	1058	227
823	1060	226
824	1061	225
825	1062	223
826	1063	222
827	1075	223
828	1076	222
829	1079	221
830	1080	219
831	1081	218
832	1082	217
833	1083	215
834	1085	214
835	1086	213
836	1087	211
837	1088	210
838	1089	209
839	1091	207
840	1093	206
841	1094	205
842	1095	203
843	1096	202
844	1100	201
845	1101	200
846	1102	199
847	1104	197
848	1105	196
849	1107	195
850	1108	194
851	1109	192
852	1110	191
853	1111	190
854	1113	188
855	1114	187
856	1115	186
857	1116	184
858	1118	183
859	1119	182
860	1120	180
861	1121	179
862	1123	178
863	1124	176
864	1125	175
865	1125	174
866	1126	172
867	1127	171
868	1129	170
869	1130	168
870	1131	167
871	1132	166
872	1133	164
873	1134	163
874	1135	162
875	1136	160
876	1137	159
877	1138	158
878	1139	156
879	1141	155
880	1142	154
